binomen,subsp,variety,habit,height_min_mm,leaf_width_min_mm,leaf_length_min_mm,fruit_width_min_mm,fruit_length_min_mm,height_max_mm,leaf_width_max_mm,leaf_length_max_mm,fruit_width_max_mm,fruit_length_max_mm,mid_mm_height,mid_mm_leaf_width,mid_mm_leaf_length,mid_mm_fruit_width,mid_mm_fruit_length,desc,source
Eucalyptus diversifolia,NA,NA,mallee,NA,10,70,10,8,6000,20,100,15,12,6000,15,85,12.5,10,"Mallee to 6 m, spreading. Bark grey to light brown. Juvenile leaves opposite, sessile, later ones alternate, petiolate, oblong-lanceolate. Adult leaves alternate, lanceolate, sometimes falcate, apiculate, thick; lamina 7-10 cm long, 1-2 cm wide, dull, grey-green or blue-green; lateral veins just visible, at 20°–30°; intramarginal vein up to 2 mm from margin; petiole channelled, 10-20 mm long. Umbels 7-11-flowered; peduncle channelled, 5-12 mm long; pedicels 2-4 mm long. Buds conical or fusiform, grey-pink or grey-red; operculum conical, 4-8 mm long, 5-6 mm wide; hypanthium obconical, 3-4 mm long, 5-6 mm wide. Fruits truncate-pyriform or subglobular, 8-12 mm long, 10-15 mm wide; disc broad, flat or convex, overlapping valves; valves 4, small, level to slightly exserted. Seeds D-shaped, with several ridges, often shortly winged on margin, red-brown. Soap. Mallee. Fig. 53G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus erectifolia,NA,NA,mallee,NA,13,60,15,10,3000,18,75,20,16,3000,15.5,67.5,17.5,13,"Mallee to 3 m. Bark grey. Juvenile leaves subopposite to alternate, elliptic to ovate, concolorous. Adult leaves alternate, erect, narrowly lanceolate to lanceolate, uncinate; lamina 6-7.5 cm long, 1.3-1.8 cm wide, shining, dark green; lateral veins just visible, at approx 35°; intramarginal vein up to 1 mm from margin; petiole terete or slightly flattened, 6-12 mm long. Umbels 7-13 flowered; peduncle terete or quadrangular, 8-20 mm long; pedicels 2-5 mm long. Buds broadly fusiform to ovoid; operculum conical, 4-5 mm long and wide; hypanthium obconical to hemispherical, approx 4 mm long, 4-5 mm wide. Fruits hemispherical to subglobular, 10-16 mm long, 15-20 mm wide; disc broad, level to descending; valves 3 or 4, just included. Seeds pyramidal, brown, laterally winged. Fig. 53 I–J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus patens,NA,NA,tree,NA,12,100,9,9,45000,30,160,12,14,45000,21,130,10.5,11.5,"Tree to 45 m. Bark grey to grey-brown. Juvenile leaves ovate, acuminate. Adult leaves narrowly lanceolate to lanceolate, sometimes falcate, acuminate; lamina 10-16 cm long, 1.2-3 cm wide, dull, green; lateral veins just visible, at 40°–50°; intramarginal vein up to 1 mm from margin; petiole flat or channelled, 10-20 mm long. Umbels 7-11-flowered; peduncle angular, 10-20 mm long; pedicels 1-4 mm long. Buds clavate; operculum hemispherical-conical, 5-6 mm long, 6-7 mm wide; hypanthium campanulate, 5-7 mm long, 6-7 mm wide. Fruits globular to ovoid, 9-14 mm long, 9-12 mm wide; disc descending; valves 3-5, included. Seeds usually D-shaped. Yarri, Blackbutt. Fig. 53K–L","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus todtiana,NA,NA,tree,NA,12,70,17,15,15000,20,125,23,20,15000,16,97.5,20,17.5,"Tree to 15 m. Bark grey to grey-brown. Juvenile leaves opposite, sessile, becoming alternate, petiolate, narrowly to broadly lanceolate. Adult leaves narrowly lanceolate or lanceolate, acuminate, thick; lamina 7-12.5 cm long, 1.2-2 cm wide, green; lateral veins prominent, at 35°–45°; intramarginal vein up to 1.5 mm from margin; petiole flattened or channelled, 8-12 mm long. Umbels 3-7-flowered; peduncles flattened or angular, 10-32 mm long; pedicels 1-4 mm long. Buds clavate or ovoid; operculum hemispherical, 4-6 mm long, 6-7 mm wide; hypanthium hemispherical, 4-5 mm long, 6-7 mm wide. Fruits globular, truncate, slightly wrinkled, 15-20 mm long, 17-23 mm wide; disc level or descending; valves 3 or 4, level or just exserted. Seeds cubic or pyramidal, winged on edges. Pricklybark. Fig. 53M–N","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus lateritica,NA,NA,mallee,NA,12,75,14,12,3000,25,100,16,15,3000,18.5,87.5,15,13.5,"Mallee to 3 m. Bark rough, grey-brown to 1.5 m, or mostly smooth, grey. Juvenile leaves lanceolate, slightly shining, slightly discolorous. Adult leaves narrowly lanceolate to lanceolate, long-pointed; lamina 7.5-10 cm long, 1.2-2.5 cm wide, shining, green or dark green; lateral veins distinct, at 30°–50°; intramarginal vein up to 2 mm from margin; petiole slightly flattened, 8-10 mm long. Umbels 11-flowered; peduncle terete, 10-17 mm long; pedicels 4-5 mm long. Buds fusiform to clavate; operculum conical to hemispherical, 3-4 mm long, 6-7 mm wide; hypanthium obovoid, 5-7 mm long, 6-7 mm wide. Fruits cupular to subglobular, 12-15 mm long, 14-16 mm wide; disc level or descending; valves 3, included. Seeds narrowly pyramidal, shining, strongly ribbed, winged. Fig. 53 O–P","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus buprestium,NA,NA,mallee,NA,8,50,20,18,6000,10,90,30,25,6000,9,70,25,21.5,"Mallee to 6 m, usually to 3 m. Bark grey to grey-brown. Juvenile leaves opposite, sessile, becoming alternate, petiolate, ovate, discolorous. Adult leaves narrowly lanceolate, sometimes falcate, acute; lamina 5-9 cm long, 0.8-1 cm wide, grey-green; lateral veins faint, at 30°–40°; intramarginal vein up to 1 mm from margin; petiole slightly flattened, 6-8 mm long. Umbels 7-11-flowered; peduncle terete to quadrangular, 10-15 mm long; pedicels quadrangular, 4-5 mm long. Buds clavate or obovoid; operculum hemispherical, sometimes apiculate, approx 2 mm long and wide; hypanthium truncate pyriform or obconical, approx 5 mm long and wide. Fruits globular, 18-25 mm long, 20-30 mm wide, wrinkled when dried. Seeds D-shaped, black or dark brown with several ridges, winged. Apple. Mallee. Fig. 54A–B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus sepulcralis,NA,NA,mallee,NA,8,70,18,25,8000,12,90,25,35,8000,10,80,21.5,30,"Mallee or slender tree to 8 m; branches pendulous, branchlets pruinose. Bark white to grey-brown. Juvenile leaves opposite, sessile, elliptic, becoming alternate, petiolate, oblong-lanceolate, grey-green. Adult leaves linear-lanceolate, acuminate; lamina 7-9 cm long, 0.8-1.2 cm wide, bright green; lateral veins faint, at approx 45°; intramarginal vein up to 1 mm from margin; petiole terete, 14-18 mm long. Umbels 7-flowered, pendulous; peduncle pruinose, 25-40 mm long; pedicels pruinose, 10-15 mm long. Buds obovoid; operculum conical, pruinose, 4-6 mm long, approx 6 mm wide; hypanthium obconical to suburceolate, pruinose, 6-8 mm long, approx 6 mm wide; stamens pale yellow. Fruits globular-urceolate, 25-35 mm long, 18-25 mm wide; disc vertical. Seeds irregularly pyramidal, black, shining. Weeping. Gum. Fig. 54C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus pendens,NA,NA,mallee,NA,10,60,NA,12,5000,20,120,NA,20,5000,15,90,NA,16,"Mallee to 5 m, few-stemmed; branchlets pendulous, pruinose. Bark pink-grey. Juvenile leaves opposite, ovate. Adult leaves lanceolate, acuminate, sometimes slightly falcate, thick, uncinate; lamina 6-12 cm long, 1-2 cm wide, green, lateral veins faint, at 30°–45°; intramarginal vein up to 1 mm from margin; petiole flattened, 20-30 mm long. Umbels 7-11-flowered; peduncle flattened, pruinose, 15-40 mm long; pedicels angular, pruinose, 3-8 mm long. Buds clavate; operculum hemispherical, sometimes umbonate, verrucose, sometimes 2- or 3-ribbed, 2-4 mm long, 6-8 mm wide; hypanthium obconical, 5-8 mm long, 6-8 mm wide. Fruits subglobular or truncate-ovoid, wrinkled or ribbed, 12-20 mm long and wide; disc oblique or vertical. Seeds dorsally rounded, several-ridged, black. Badgingarra. Mallee. Fig. 54E–F","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus exilis,NA,NA,mallee,NA,8,40,10,11,6000,12,70,14,15,6000,10,55,12,13,"Mallee to 6 m; branchlets glaucous. Bark pink-grey, light grey or cream. Juvenile leaves subopposite, becoming alternate, ovate to elliptiapprox. Adult leaves lanceolate to elliptic, uncinate, thick; lamina 4-7 cm long, 0.8-1.2 cm wide, grey-green; lateral veins faint, at 30°–40°; intramarginal vein up to 1 mm from margin; petiole flattened, 6-15 mm long. Umbels 11-flowered; peduncle flattened, 8-15 mm long; pedicels 3-5 mm long. Buds clavate to ovoid; operculum hemispherical to conical, 2-3 mm long, 4-5 mm wide; hypanthium hemispherical, 4-5 mm long and wide. Fruits truncate-globular or ovoid, 11-15 mm long, 10-14 mm wide; disc vertical. Seeds pyramidal, ribbed, black. Fig. 54G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus johnsoniana,NA,NA,mallee,NA,10,50,10,8,2000,15,120,14,12,2000,12.5,85,12,10,"Mallee to 2 m, forming dense clumps. Bark flaky to 0.5 m, then smooth and grey-brown above. Juvenile leaves ovate. Adult leaves lanceolate, uncinate; lamina 5-12 cm long, 1-1.5 cm wide, yellow-green; lateral veins faint, at 40°–50°; intramarginal vein almost confluent with margin; petiole channelled, 10-15 mm long. Peduncle terete or flattened, 8-10 mm long; pedicels 5-7 mm long. Operculum hemispherical, sometimes umbonate, 1-2 mm long, 3-4 mm wide; hypanthium hemispherical or campanulate, 3-4 mm long and wide. Fruits wrinkled, 8-12 mm long, 10-14 mm wide; disc vertical. Fig. 54 I–J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus suberea,NA,NA,mallee,NA,10,60,8,7,3000,15,90,11,9,3000,12.5,75,9.5,8,"Mallee to 3 m. Bark rough to half height, grey-yellow, then smooth, grey or white above. Adult leaves lanceolate, sometimes falcate, acuminate; lamina 6-9 cm long, 1-1.5 cm wide, slightly shining, dark green; lateral vein faint, at 10°–35°; intramarginal vein up to 1 mm from margin; petiole terete, 7-10 mm long. Peduncle terete, 8-15 mm long; pedicels approx 3 mm long. Operculum conical to hemispherical, 1-2 mm long, 3-5 mm wide; hypanthium hemispherical, 2-3 mm long, 3-5 mm wide. Fruits 7-9 mm long, 8-11 mm wide, irregularly wrinkled when dry. Fig. 54K–L","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus insularis,NA,NA,mallee,NA,4,45,5,7,2000,8,75,6,8,2000,6,60,5.5,7.5,"Mallee to 2 m, sometimes to 8 m. Bark light grey, green-grey or yellow-green. Adult leaves narrowly lanceolate to lanceolate, sometimes falcate, uncinate, thick; lamina 4.5-7.5 cm long, 0.4-0.8 cm wide, green; lateral veins faint, at 20°–35°; intramarginal vein almost confluent with margin; petiole flattened or channelled, glandular, 4-8 mm long. Peduncle flattened or angular, recurved, 5-8 mm long; pedicels 3-5 mm long; operculum hemispherical, apiculate to long-pointed, 2-3 mm long, 3-4 mm wide; hypanthium obconical, 3-4 mm long and wide. Fruits 7-8 mm long, 5-6 mm wide; disc red-brown, shining. Twin. Peak Island. Mallee. Fig. 54M–N","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus brevistylis,NA,NA,tree,NA,20,70,NA,6,40000,30,90,NA,9,40000,25,80,NA,7.5,"Tree to 40 m. Bark longitudinally fissured, yellow-brown. Juvenile leaves ovate, cordate, discolorous. Adult leaves lanceolate to broadly lanceolate, often falcate, uncinate, oblique; lamina 7-9 cm long, 2-3 cm wide, shining, green, discolorous; lateral veins faint to visible, at 35°–55°; intramarginal vein up to 1 mm from margin; petiole channelled, 10-20 mm long. Umbels 7-11-flowered; peduncle terete or angular, 7-14 mm long; pedicels 3-6 mm long. Buds ovoid or clavate; operculum hemispherical, 1-2 mm long, 3-4 mm wide; hypanthium campanulate or hemispherical, 2-3 mm long, 3-4 mm wide. Fruits globular or truncate-ovoid, wrinkled, sometimes ribbed, 6-9 mm long and wide; valves 3, included. Seeds ribbed, brown. Rate’s Tingle. Fig. 54 O–P","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus jacksonii,NA,NA,tree,NA,14,75,8,6,55000,25,110,10,8,55000,19.5,92.5,9,7,"Tree to 55 m, occasionally to 70 m. Bark longitudinally fissured, red-brown to grey-brown. Juvenile leaves broadly ovate, green, discolorous. Adult leaves lanceolate, falcate, slightly acuminate; lamina 7.5-11 cm long, 1.4-2.5 cm wide, green, shining, discolorous; lateral veins just visible, at 40°–50°; intramarginal vein up to 2 mm from margin; petiole flattened, 13-17 mm long. Umbels 7-flowered; peduncle angular, 7-11 mm long; pedicels 2-5 mm long. Buds ovoid to clavate; operculum conical, 4-5 mm long, 3-4 mm wide; hypanthium hemispherical to cylindrical, approx 3 mm long and wide. Fruits globular, 6-8 mm long, 8-10 mm wide; disc oblique; valves 3 or 4, just below rim. Seeds red-brown. Red. Tingle. Fig. 55C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus marginata,NA,NA,tree,NA,15,80,9,9,40000,30,130,15,16,40000,22.5,105,12,12.5,"Tree to 40 m; trunk up to 2 m diam. Bark red-brown or brown, ageing to grey. Juvenile leaves ovate, dark green, discolorous. Adult leaves lanceolate to broadly lanceolate, sometimes falcate, uncinate or acuminate; lamina 8-13 cm long, 1.5-3 cm wide, dark green, shining, discolorous; lateral veins just visible, at 40°–60°; intramarginal vein mostly up to 1 mm from margin; petiole channelled, 12-16 mm long. Umbels 7-11-flowered; peduncle terete or angled, 10-20 mm long; pedicels 5-13 mm long. Buds ±cylindrical; operculum narrowly conical, rostrate, 5-9 mm long, 3-4 mm wide; hypanthium hemispherical or campanulate, 2-4 mm long, 3-4 mm wide. Fruits globular or ovoid, 9-16 mm long, 9-15 mm wide; disc descending obliquely or sometimes level; valves 3, included or level. Seeds ribbed, brown-black. Jarrah. Fig. 54Q–R","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus staeri,NA,NA,tree,NA,25,75,17,17,15000,38,127,25,22,15000,31.5,101,21,19.5,"Tree to 15 m. Bark deeply fissured longitudinally, grey-brown. Juvenile leaves not seen. Adult leaves broadly lanceolate to ovate-lanceolate, sometimes falcate, uncinate, thick; lamina 7.5-12.7 cm long, 2.5-3.8 cm wide green, concolorous to slightly discolorous; lateral veins just visible, at 30°–40°; intramarginal vein up to 2 mm from margin; petiole flattened, 15-20 mm long. Umbels many-flowered; peduncle flattened, 20-25 mm long; pedicels angular, 6-9 mm long. Buds fusiform; operculum conical or rostrate, 10-13 mm long, 5-7 mm wide; hypanthium obconical, 5-6 mm long, 5-7 mm wide. Fruits globular, 17-22 mm long, 17-25 mm wide; disc oblique; valves 3 or 4, included. Seeds black-brown. Albany. Blackbutt. Fig. 55A–B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus acmenoides,NA,NA,tree,NA,16,80,NA,4,25000,27,125,NA,7,25000,21.5,102.5,NA,5.5,"Tree to 25 m in dry sites, eleswhere to 60 m. Bark grey-brown. Juvenile leaves ovate, shining, green, acuminate. Adult leaves lanceolate to broadly lanceolate, sometimes falcate, acuminate, thin; lamina 8-12.5 cm long, 1.6-2.7 cm wide, green, discolorous; lateral veins clearly visible, at 35°–55°; intramarginal vein up to 1 mm from margin; petiole flattened or channelled, 8-15 mm long. Peduncle angular or flattened, 6-12 mm long; pedicels 2-6 mm long. Operculum conical or rostrate, 3-4 mm long and wide; hypanthium obconical or hemispherical, 2-3 mm long, 3-4 mm wide. Fruits hemispherical to truncate-globular, 4-7 mm long and wide; disc usually narrow, level or descending; valves 3 or 4, level or included. White. Mahogany. Fig. 55E–F","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus umbra,NA,NA,tree,NA,NA,NA,NA,NA,25000,NA,NA,NA,NA,25000,NA,NA,NA,NA,"Tree to 25 m, sometimes a shrub to 4 m. Bark grey to grey-brown. Juvenile leaves ovate, dark green, shining. Adult leaves lanceolate, somewhat falcate, acuminate, oblique, thick, concolorous; petiole flattened. Peduncle flattened, angular or terete; pedicels angular. Operculum conical or rostrate; hypanthium hemispherical. Fruits hemispherical; valves 3 or 4, level","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus umbra,umbra,NA,shrub,NA,NA,NA,7,6,4000,NA,NA,9,8,4000,NA,NA,8,7,"Shrub to 4 m in coastal areas, elsewhere tree to 25 m. Adult leaves: lamina 10-14 cm long, 2.5-3.5 cm wide, green; lateral veins just visible, at 40°–50°; intramarginal vein up to 1 mm from margin; petiole 13-20 mm long. Peduncle angular to flattened, 15-25 mm long; pedicels 5-8 mm long. Operculum 4-5 mm long, 3-4 mm wide; hypanthium hemispherical, 3-4 mm long and wide. Fruits 6-8 mm long, 7-9 mm wide; disc prominent, broad, convex or flat, reddish. Broad-leaved. White. Mahogany. Fig. 55G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus umbra,carnea,NA,tree,NA,NA,NA,5,6,25000,NA,NA,7,7,25000,NA,NA,6,6.5,"Tree to 25 m. Adult leaves: lamina 8-12 cm long, 2.5-4 cm wide, blue-green; lateral veins faint or just visible, at 35°–50°; intramarginal vein up to 2 mm from margin; petiole 10-20 mm long. Peduncle terete, 10-20 mm long; pedicels 4-5 mm long. Operculum 3-4 mm long and wide; hypanthium hemispherical, 3-4 mm long and wide. Fruits 6-7 mm long, 5-7 mm wide; disc narrow, descending. Broad-leaved. White. Mahogany. Fig. 55 I–J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus muelleriana,NA,NA,tree,NA,15,80,8,7,40000,25,130,12,10,40000,20,105,10,8.5,"Tree to 40 m. Bark thick, grey-brown. Juvenile leaves ovate, often oblique, green, discolorous. Adult leaves broadly lanceolate to lanceolate, acuminate; lamina 8-13 cm long, 1.5-2.5 cm wide, green, discolorous; lateral veins prominent, at 20°–35°; intramarginal vein faint, 1-2 mm from margin; petiole channelled, 15-20 mm long. Umbels 7-11-flowered; peduncle angular or flattened, 8-18 mm long; pedicels 1-3 mm long. Buds ovoid to clavate; operculum hemispherical to conical, 2-3 mm long, 3-4 mm wide; hypanthium obconical, 3-5 mm long, 3-4 mm wide. Fruits subglobular to truncate-ovoid, 7-10 mm long, 8-12 mm wide; disc broad, level or slightly descending or sometimes slightly convex; valves 4, slightly included or slightly exserted. Yellow. Stringybark. Fig. 55K–L","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus laevopinea,NA,NA,tree,NA,15,95,7,6,40000,25,140,12,11,40000,20,117.5,9.5,8.5,"Tree to 40 m. Bark smooth and white on smaller branches, fibrous and grey to red-brown elsewhere. Juvenile leaves ovate, green, discolorous. Adult leaves lanceolate, often falcate, acuminate; lamina 9.5-14 cm long, 1.5-2.5 cm wide, green, concolorous lateral veins clearly visible, at 25°–40°; intramarginal vein up to 2 mm from margin; petiole channelled or flat, 10-20 mm long. Umbels 7-11-flowered; peduncle angular or flattened, 5-20 mm long; pedicels 1-6 mm long. Buds clavate; operculum hemispherical, apiculate, 3-4 mm long, 4-5 mm wide; hypanthium obconical, 3-4 mm long, 4-5 mm wide. Fruits hemispherical to subglobular, 6-11 mm long, 7-12 mm wide; disc broad, level or convex; valves 3 or 4, slightly included to exserted. Silvertop. Stringybark. Fig. 55M–N","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus macrorhyncha,NA,NA,tree,NA,NA,NA,NA,NA,35000,NA,NA,NA,NA,35000,NA,NA,NA,NA,"Tree 12-35 m. Bark grey-brown. Juvenile leaves alternate, ovate, oblique, green, concolorous. Adult leaves lanceolate, green, concolorous; uncinate; petiole flattened or channelled. Umbels 3-11-flowered; peduncle terete, angular or flattened. Buds fusiform; operculum conical or rostrate; hypanthium obconical. Fruits subglobular to globular; disc broad, convex, ascending; valves 3 or 4, exserted","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus macrorhyncha,macrorhyncha,NA,tree,NA,NA,NA,7,6,35000,NA,NA,12,10,35000,NA,NA,9.5,8,"Tree to 35 m. Adult leaves: lamina 9-14 cm long, 1.2-2.7 cm wide; lateral veins prominent, at 25°–40°; intramarginal vein up to 2 mm from margin; petiole 10-17 mm long. Umbels 7-11-flowered; peduncle 7-16 mm long; pedicels 2-8 mm long. Operculum rostrate, 5-6 mm long, 4-5 mm wide; hypanthium 3-4 mm long, 4-5 mm wide. Fruits globular, 6-10 mm long, 7-12 mm wide. Red. Stringybark. Fig. 56A–B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus macrorhyncha,cannonii,NA,tree,NA,NA,NA,10,7,12000,NA,NA,14,10,12000,NA,NA,12,8.5,"Tree to 12 m, sometimes to 25 m. Adult leaves: lamina 10-18 cm long, 1.5-2.5 cm wide; lateral veins clearly visible or faint, at 30°–40°; intramarginal vein up to 2 mm from margin; petiole 10-15 mm long. Umbels 3-7-flowered; peduncle 10-19 mm long; pedicels 1-4 mm long. Operculum rostrate or conical, convex, flared at base, 5-6 mm long and wide; hypanthium convex, flared at top, 3-4 mm long, 5-6 mm wide. Fruits subglobular, 7-10 mm long, 10-14 mm wide. Cannon’s Stringybark. Fig. 56C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus youmanii,NA,NA,tree,NA,10,75,10,9,21000,20,130,15,12,21000,15,102.5,12.5,10.5,"Tree to 21 m. Bark grey to red-brown. Juvenile leaves ovate to orbicular, green, slightly discolorous. Adult leaves lanceolate, falcate, acuminate, thick; lamina 7.5-13 cm long, 1-2 cm wide, green, concolorous; lateral veins clearly visible, at 25°–35°; intramarginal vein up to 2 mm from margin; petiole channelled, 10-15 mm long. Umbels 7-flowered; peduncle flattened, 5-11 mm long; pedicels usually absent or occasionally 2-3 mm long. Buds fusiform, angular; operculum conical, 5-6 mm long, 5-7 mm wide; hypanthium obconical, 3-4 mm long, 5-7 mm wide. Fruits subglobular, often compressed by crowding and ribbed, 9-12 mm long, 10-15 mm wide; disc very broad, convex, ascending; valves 3, exserted. Youman’s Stringybark. Fig. 56E–F","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus baxteri,NA,NA,tree,NA,15,70,8,6,40000,30,125,16,11,40000,22.5,97.5,12,8.5,"Tree to 40 m. Bark grey-brown. Juvenile leaves elliptic to ovate, often oblique, green, slightly discolorous to concolorous. Adult leaves broadly lanceolate, acuminate or mucronate, thick; lamina 7-12.5 cm long, 1.5-3 cm wide, green, shining, concolorous; lateral veins just visible, at 20°–40°; intramarginal vein up to 2 mm from margin; petiole channelled, 10-20 mm long. Umbels 7-11-flowered; peduncle thick, terete or angular, 2-14 mm long; pedicels absent or to 4 mm long. Buds clavate, warty; operculum hemispherical, 2-4 mm long, 4-5 mm wide; hypanthium obconical, 3-4 mm long, 4-5 mm wide. Fruits hemispherical to subglobular, 6-11 mm long, 8-16 mm wide; disc broad, level or ascending; valves 4, level or exserted. Brown. Stringybark. Fig. 56G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus alpina,NA,NA,mallee,NA,25,75,15,12,2000,38,100,18,16,2000,31.5,87.5,16.5,14,"Mallee to 2 m or tree to 10 m. Bark fibrous, grey on stems and smooth, grey-white above, or smooth throughout. Juvenile leaves suborbicular to broadly ovate, dark green, concolorous. Adult leaves broadly lanceolate to ovate, mucronate, thick; lamina 7.5-10 cm long, 2.5-3.8 cm wide, dark green, concolorous; lateral veins clearly visible, at 15°–30°; intramarginal vein up to 3 mm from margin; petiole thick, channelled, 10-20 mm long. Umbels 3-7-flowered; peduncle thick, flattened, 2-5 mm long; pedicels absent. Buds subglobular or ovoid, warty; operculum hemispherical, 4-5 mm long, 5-9 mm wide; hypanthium hemispherical, 6-8 mm long, 7-9 mm wide. Fruits hemispherical, warty, 12-16 mm long, 15-18 mm wide; disc broad, ascending; valves 4 or 5, exserted. Grampians. Gum. Figs 24, 56 I–J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus deuaensis,NA,NA,mallee,NA,11,70,10,6,4000,17,100,14,10,4000,14,85,12,8,"Mallee or small tree to 4 m. Bark smooth, grey to white throughout, shedding in recurving strips. Juvenile leaves opposite at first, becoming alternate, petiolate becoming sessile, oblong-ovate, discolorous. Adult leaves narrowly lanceolate or slightly falcate, apiculate, erect; lamina 7-10 cm long, 1.1-1.7 cm wide, dark green, prominently glandular, concolorous; lateral veins faint at 40°–50°; intramarginal vein indistinct; petiole more or less flattened, 3-8 mm long. Umbels 7-flowered; peduncle absent or to 2 mm long; pedicels absent. Buds fusiform or diamond-shaped, angular; operculum conical, 3-4 mm long, 4-5 mm wide; hypanthium obconical, 4-5 mm long, 4-5 mm wide. Fruits sessile, depressed hemispherical, 6-10 mm long, 10-14 mm wide; disc broad, ascending; valves 3-5, usually 4, exserted","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus blaxlandii,NA,NA,tree,NA,15,70,7,6,35000,20,120,12,8,35000,17.5,95,9.5,7,"Tree to 35 m. Bark grey-brown. Juvenile leaves ovate, green, slightly hairy on lower surface, discolorous. Adult leaves broadly lanceolate, apiculate to acuminate; lamina 7-12 cm long, 1.5-2 cm wide, shining, green, concolorous; lateral veins clearly visible, at 30°–40°; intramarginal vein up to 2 mm from margin; petiole channelled, 5-12 mm long. Umbels 7-11-flowered; peduncle terete or angular, 7-14 mm long; pedicels absent. Buds clavate; operculum hemispherical or rarely conical, 2-4 mm long, 3-5 mm wide; hypanthium obconical, 3-4 mm long, 3-5 mm wide. Fruits subglobular or hemispherical, 6-8 mm long, 7-12 mm wide; disc broad, convex, ascending; valves 4 or 5, exserted. Blaxland’s Stringybark. Fig. 56K–L","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
